Name,Industry,VAT number,Affiliate advertiser ID,External ID,Labels
KalPa Hockey Oy54350,,FI8708943,54350,,
Kalsi Joel36175,,FI20534421,36175,,
KALUSTE 10 OY4446,,FI1744263,4446,,
Kaluste Airisto Oy55901,,FI24966117,55901,,
Kaluste Heinoset Oy56259,,FI21496244,56259,,
Kaluste Ojala Oy16882,,FI9468347,16882,,
Kaluste Parkkonen Kodintavaratalo Oy3626,,FI9629008,3626,,
Kaluste Varrio Oy54064,,FI23983361,54064,,
Kaluste Åke Niemi Oy54387,,FI17529365,54387,,
Kaluste-Eemeli Oy52840,,FI9493294,52840,,
Kalustehalli Asiala Oy37572,,FI10106204,37572,,
"Kaluste-Löytö, Raimo Jokinen31915",,FI9968077,31915,,
Kalustemarkkinointi Oy12343,,FI1783465,12343,,
Kalustemarkkinointi Oy55884,,FI1783465,55884,,
Kaluste-Trading Finland Oy24510,,FI25401935,24510,,
Kalustetrio Ky Kuisma Hattunen54273,,FI7961920,54273,,
Kalustetuote Eerola Oy34704,,FI5312505,34704,,
Kaluste-Valiot Oy54336,,FI5840914,54336,,
"Kameralehti, Kameraseura r.y.35793",,FI1165827,35793,,
Kampaamo LS-Style Oy53600,,FI9010299,53600,,
Kampanjatoimisto Kulma Oy56084,,FI20557367,56084,,
Kampin Keskuksen Yrittäjäyhdistys ry53692,,FI19886155,53692,,
Kampin Sirkus Oy38013,,FI22479171,38013,,
Kampus Data Oy21752,,FI9118507,21752,,
Kamux Oy36881,,FI15786667,36881,,
Kamux Oy36984,,FI15786667,36984,,
Kamux Oy53651,,FI15786667,53651,,
Kamux Oy55424,,FI15786667,55424,,
Kangasalan kunta25738,,FI19232995,25738,,
Kangasalan Seudun OP-Kiinteistökeskus Oy38202,,FI1478495,38202,,
Kangasmaailma Oy53864,,FI19723049,53864,,
Kangasniemen kunta2740,,FI1646903,2740,,
Kankaanpään Kangaspolku Oy50765,,FI6726320,50765,,
Kankaanpään kaupunki52612,,FI1335961,52612,,
Kankaanrannan Vihannes Ky20666,,FI6272891,20666,,
Kankaisten Öljykasvit Oy24278,,FI9658351,24278,,
Kannalan Huvilat Oy21050,,FI4518982,21050,,
Kannonkosken Osuuspankki31968,,FI1757902,31968,,
Kannuksen kaupunki52629,,FI1784556,52629,,
Kannustalo Oy10967,,FI16421096,10967,,
Kannustalo Oy35641,,FI16421096,35641,,
Kansainvälinen designsäätiö54187,,FI23509934,54187,,
Kansainvälinen designsäätiö54204,,FI23509934,54204,,
Kansallinen Kokoomus r.p4316,,FI2134985,4316,,
Kansallinen Kokoomus r.p16975,,FI2134985,16975,,
Kansallinen Kokoomus r.p23045,,FI2134985,23045,,
Kansallinen Kokoomus r.p23248,,FI2134985,23248,,
Kansallinen Kokoomus r.p23918,,FI2134985,23918,,
Kansallinen Kokoomus r.p28087,,FI2134985,28087,,
Kansallinen Kokoomus r.p33515,,FI2134985,33515,,
Kansallinen Kokoomus r.p34181,,FI2134985,34181,,
Kansallinen Kokoomus r.p34766,,FI2134985,34766,,
Kansallinen Kokoomus r.p34928,,FI2134985,34928,,
Kansan Raamattuseuran Säätiö30403,,FI1165851,30403,,
Kansan Uutiset Oy2733,,FI7758164,2733,,
Kansaneläkelaitos2906,,FI2462460,2906,,
Kantolan Rengas Oy55540,,FI19471910,55540,,
Kanttis Oy57842,,FI25883532,57842,,
Kao Finland Oy1451,,FI8649584,1451,,
Kapp Ahl Oy8931,,FI7585064,8931,,
Kapp Ahl Oy26010,,FI7585064,26010,,
Kapp Ahl Oy35637,,FI7585064,35637,,
Kapsäkki Osuuskunta29275,,FI16268933,29275,,
Kar-Agent Oy52359,,FI7451381,52359,,
Kar-Art Nostalgia Oy668,,FI6768379,668,,
Karelia Ammattikorkeakoulu Oy20477,,FI24543771,20477,,
Karelia Expert Matkailupalvelu Oy12723,,FI9321257,12723,,
Karelia Expert Matkailupalvelu Oy20082,,FI9321257,20082,,
Karelian Lihajaloste Oy25038,,FI7691203,25038,,
Karelia-Upofloor Oy14809,,FI10342864,14809,,
Karelment Oy32339,,FI9690407,32339,,
Karevox Oy32595,,FI17917595,32595,,
Karhu Nordic Ab51670,,FI22609204,51670,,
Karhu Ravintolat Oy53735,,FI23579318,53735,,
Karhufest Oy54115,,FI22031705,54115,,
Karhulan Koneseppo Oy54715,,FI19009865,54715,,
Karhulanlehto Oy21376,,FI8775820,21376,,
Karhunjälki Oy54073,,FI21579701,54073,,
Karhunpesä Ky Paasi & Taisto14009,,FI2509548,14009,,
Kari Aukia Oy24461,,FI15485645,24461,,
Kari Aukia Oy51328,,FI15485645,51328,,
Kari Eklund - DM Oy103,,FI9070865,103,,
Kari Tiainen Sport Oy18942,,FI10329504,18942,,
Karihaaran Visan Tuki ry12774,,FI6819877,12774,,
Kariikka Oy51126,,FI20993556,51126,,
Kari-Kuva Ky21539,,FI6041743,21539,,
Karilainen Oy53206,,FI17835469,53206,,
Karisto Oy31150,,FI1467112,31150,,
Karitma Oy33407,,FI17461620,33407,,
Karjalan Kiinteistönvälitys Oy LKV50432,,FI10294065,50432,,
Karjalan MediaCenter Oy56750,,FI21381746,56750,,
Karjalohjan Päiväkumpu Oy33383,,FI9313185,33383,,
Karkkilan kaupunki36669,,FI1270467,36669,,
Karl Sandberg Ky38160,,FI6571787,38160,,
Karlux Oy56719,,FI5353649,56719,,
Karmiini Oy56710,,FI8719116,56710,,
Karpalomedia Oy34106,,FI16461311,34106,,
Karstulan Evankelisen Kansanopiston Kannatusyhdistys Ry26316,,FI2083620,26316,,
Kartano-Golf ry55025,,FI8984526,55025,,
Kartelli Sport Oy54848,,FI18862776,54848,,
Karto Oy5868,,FI1744319,5868,,
Karttakeskus Oy8924,,FI23521757,8924,,
Kaso Oy18798,,FI1097051,18798,,
Kastelli Invest Oy52327,,FI20074381,52327,,
Kastelli-talot Oy10291,,FI7456377,10291,,
Kasvis Galleria Oy32617,,FI15278988,32617,,
Kasvishovi Oy37167,,FI6482848,37167,,
Katepal Oy1421,,FI1507030,1421,,
Katiusa Oy55072,,FI21844915,55072,,
Katman Oy55767,,FI18262746,55767,,
Katsa Oy55338,,FI1541626,55338,,
Katsastus Kinnunen Oy54603,,FI22409499,54603,,
Katsastuspiste Suomi Oy56445,,FI23331179,56445,,
Kattopalatsi Oy36595,,FI21799691,36595,,
Katukenkä Oy56175,,FI23248500,56175,,
Kaufmann Agency Helsinki Oy54271,,FI10344974,54271,,
Kauhajoen Karhu ry56070,,FI1787167,56070,,
Kauhajoen kaupunki11576,,FI1787183,11576,,
Kauhavan kaupunki52631,,FI2088528,52631,,
Kauhavan Kultatähti OY24408,,FI8660695,24408,,
Kaukomaa Group Oy32651,,FI8883928,32651,,
KAUKOMARKKINAT OY1256,,FI1006500,1256,,
Kaukomarkkinat Oy19348,,FI1006500,19348,,
Kaukoravintolat Oy53539,,FI17378800,53539,,
Kauneus & Laserklinikka Aida Oy55120,,FI19432487,55120,,
Kauneus ja Luontaisterapia Ulla Ström-Lohi Oy36300,,FI15115505,36300,,
Kauneushoitola & Kosmetiikka Merisa Oy52968,,FI8417572,52968,,
Kauneushoitola Arja Korkala55789,,FI16493006,55789,,
Kauneuskeskus Eleganssi Oy34914,,FI22067716,34914,,
Kauneuskeskus Essi Oy29551,,FI15342652,29551,,
Kauneuskeskus Fenix Oy37160,,FI22064814,37160,,
Kauneuskeskus Lumikki Oy54020,,FI25209249,54020,,
Kauneuskeskus Mona Oy55037,,FI22827869,55037,,
KAUNEUSPISTE ARMIIDA55813,,FI11355368,55813,,
KAUNEUSSALONKI MERYEM35987,,FI18011365,35987,,
Kauneussalonki Serenity56100,,FI24392459,56100,,
Kauniaisten kaupunki30348,,FI2030262,30348,,
Kauniit ja Ruskeat Oy54571,,FI9372775,54571,,
Kaunis Suomi Oy53367,,FI24047663,53367,,
Kauppahuone Harju Oy35129,,FI2950755,35129,,
Kauppahuone Laakkonen Oy52423,,FI1677267,52423,,
Kauppahuone Mies Oy56138,,FI14465394,56138,,
Kauppahuone Peltonen Oy26976,,FI17339078,26976,,
Kauppakeskus Aapelin Kauppiasyhdistys ry34571,,FI9517196,34571,,
Kauppakeskus EPSTORIN kauppiasyhdistys ry50226,,FI19860561,50226,,
Kauppakeskus Family Center52805,,FI20741519,52805,,
Kauppakeskus Goodmanin yrittäjäyhdistys57982,,FI26563418,57982,,
Kauppakeskus ISO MYY Oy36726,,FI20843320,36726,,
Kauppakeskus Jumbon Yrittäjäyhdistys ry37210,,FI10545119,37210,,
Kauppakeskus Lappeenrannan Gallerian Yrittäjäyhdistys ry50371,,FI24114811,50371,,
KAUPPAKESKUS MYLLY OY25971,,FI16290444,25971,,
Kauppakeskus Myyrmannin Yrittäjäyhdistys Ry14801,,FI9730683,14801,,
Kauppakeskus Pasaatin yrittäjäyhdistys ry33537,,FI20569405,33537,,
Kauppakeskus Ruotsalainen10183,,FI2148850,10183,,
Kauppakeskus Skanssi Oy35877,,FI21047633,35877,,
Kauppakeskus Tavastilan Yrittäjäyhdistys ry50936,,FI18802925,50936,,
Kauppalehti Oy6610,,FI8692881,6610,,
Kauppalehti Oy26744,,FI8692881,26744,,
Kauppapuutarha Koivulehto Oy20643,,FI5215406,20643,,
Kauppapuutarha Kukkiva Kunnas Oy55414,,FI7034924,55414,,
Kauppapuutarhaliitto ry29470,,FI2014502,29470,,
Kauppiaitten Kauppaoppilaitos Oy33776,,FI5034170,33776,,
Kauppiasosuuskunta Tekniset35250,,FI17970572,35250,,
Kauppiasosuuskunta Tekniset51993,,FI17970572,51993,,
Kauppiasosuuskunta Tekniset1523,,FI17970572,1523,,
Kauppila Oy5884,,FI19668609,5884,,
Kaupunki- ja Maakiinteistö Oy LKV33017,,FI4706027,33017,,
KaupunkiBongaaja55742,,FI24818405,55742,,
Kaustisen evankelisen kansanopiston kannatusyhdistys ry33259,,FI1789808,33259,,
Kaustisen Jäsenkorjaus Oy56227,,FI21734388,56227,,
Kaustisen Kauppakeskus Oy54529,,FI2088747,54529,,
Kaustisen Konekeskus Oy55132,,FI9387045,55132,,
Kaustisen Seudun Raviseura ry55591,,FI5748587,55591,,
Kavli Oy9251,,FI16107881,9251,,
Kb Ingves Bussar Ky54781,,FI2166039,54781,,
K-citymarket Espoo Sello33042,,FI15077246,33042,,
K-citymarket Heinola17268,,FI10701708,17268,,
K-citymarket Helsinki Malmi34537,,FI15077246,34537,,
K-Citymarket Hämeenlinna33538,,FI15077246,33538,,
K-Citymarket Iso Omena32125,,FI15077246,32125,,
K-citymarket Itäkeskus22754,,FI15077246,22754,,
K-Citymarket JARAMI OY23478,,FI17047470,23478,,
K-citymarket Joensuu Kauppakatu33481,,FI15077246,33481,,
K-citymarket Joensuu Pilkko34221,,FI17047470,34221,,
K-citymarket Jumbo24312,,FI15077246,24312,,
K-citymarket Jyväskylä Keljonkeskus5251,,FI15077246,5251,,
K-citymarket Jyväskylä Seppälä29139,,FI15077246,29139,,
K-Citymarket Kajaani12185,,FI2071849,12185,,
K-citymarket Kemi50532,,FI20877328,50532,,
K-citymarket Keminmaa12433,,FI15077246,12433,,
K-citymarket Kolmisoppi16216,,FI15077246,16216,,
K-citymarket Kotka52266,,FI8918502,52266,,
K-CITYMARKET KUPITTAA24468,,FI18756383,24468,,
K-Citymarket Kuusamo25934,,FI15077246,25934,,
K-citymarket Lahti Laune52550,,FI21396155,52550,,
K-citymarket Lappeenranta33258,,FI15077246,33258,,
K-Citymarket Lielahti5249,,FI15077246,5249,,
K-citymarket Lohja34542,,FI15077246,34542,,
K-Citymarket Länsikeskus29293,,FI3565787,29293,,
K-citymarket Nokia33261,,FI15077246,33261,,
K-Citymarket Oulu Raksila28676,,FI15077246,28676,,
K-Citymarket Oulu Rusko52526,,FI15077246,52526,,
K-citymarket Oy5217,,FI15077246,5217,,
K-citymarket Oy Helsinki Ruoholahti34538,,FI15077246,34538,,
K-citymarket Oy Iisalmi33483,,FI15077246,33483,,
K-citymarket Oy Imatra16454,,FI15077246,16454,,
K-citymarket Oy Mikkeli33482,,FI15077246,33482,,
K-citymarket Oy Vantaa56658,,FI15077246,56658,,
K-citymarket Pirkkala52000,,FI22998350,52000,,
K-citymarket Rovaniemi12546,,FI15077246,12546,,
K-citymarket Salo28243,,FI15077246,28243,,
K-citymarket Turku Kupittaa32382,,FI18756383,32382,,
K-citymarket Turku Skanssi50191,,FI20336257,50191,,
K-citymarket Vantaa Myyrmäki34648,,FI8212446,34648,,
K-citymarket Varkaus4250,,FI15077246,4250,,
K-Citymarket Ylivieska52530,,FI15077246,52530,,
KD-Mediat Oy33784,,FI17364927,33784,,
KEA Aktiebolag38186,,FI2050378,38186,,
Keeway Motor Finland Oy34807,,FI19785696,34807,,
Kehittämisyhdistys Kalakukko Ry51966,,FI10708563,51966,,
Kehittämisyhtiö Ikaalisten Kylpyläkaupunki Oy25638,,FI6626784,25638,,
Kehittämisyhtiö Witas Oy32934,,FI18651610,32934,,
Kehitysyhteistyön palvelukeskus ry28394,,FI6213402,28394,,
Kehrä Interior Oy54125,,FI22916618,54125,,
Kehysliike J. Sallinen56424,,FI11744291,56424,,
Keilahalli 0lli Tiainen Avoin yhtiö50751,,FI6058940,50751,,
Keilakeidas Oy50766,,FI8293012,50766,,
Keilaraisio Oy Eriksson53999,,FI6314844,53999,,
Keitele Forest Oy56310,,FI6960328,56310,,
Keitele Timber Oy52095,,FI6960328,52095,,
Keiteleen kunta26891,,FI1707737,26891,,
Keiteleen Osuuspankki28892,,FI1707876,28892,,
Keittiökaluste Lappi Oy56540,,FI8908232,56540,,
Keittiömaa Oy54022,,FI10767635,54022,,
Kekkilä Oy1404,,FI5587349,1404,,
Kekkolan Kartano Oy50848,,FI10933189,50848,,
Kekäle Oy5791,,FI1681071,5791,,
KEKÄLE OY14143,,FI1744386,14143,,
Keljon Konehuolto Oy55568,,FI25491459,55568,,
Kello-Kulta Suninen Oy53943,,FI2066847,53943,,
Kelloliike Ilmakangas Ky25668,,FI1676686,25668,,
Kelloliike Pulkkinen Oy54599,,FI18574264,54599,,
Kelloliike Salonen Oy55871,,FI24010465,55871,,
Kellosepänliike H. Ikäheimo25762,,FI10209780,25762,,
Kemijoki Oy10763,,FI1921717,10763,,
Kemijärven kaupunki8142,,FI1917179,8142,,
Kemijärven kaupunki12612,,FI1917179,12612,,
Kemin Autopalvelu Oy55270,,FI24664207,55270,,
Kemin Kaupunginteatteri12684,,FI2104276,12684,,
Kemin kaupunki54746,,FI2104276,54746,,
Kemin Kaupunkikeskusyhdistys ry54255,,FI19438520,54255,,
"Kemin Kenkä-Keskus, Kyllönen Ky54339",,FI2104292,54339,,
Kemin K-Rauta53738,,FI15888663,53738,,
Kemin Laukku Oy58139,,FI23140655,58139,,
Kemin Matkailu Oy7948,,FI6812392,7948,,
Kemin Matkailu Oy53241,,FI6812392,53241,,
Kemin Musiikki Ky54376,,FI8061238,54376,,
Kemin OP-Kiinteistökeskus Oy54770,,FI1908969,54770,,
Kemin Osto- ja Myyntiliike Oy54441,,FI17776593,54441,,
Kemin Puistopaviljonki Ky51798,,FI8075154,51798,,
Kemin Puukeidas Oy/ Jyväskylän toimipiste53708,,FI8659782,53708,,
Kemin Silmälasi Oy12562,,FI2984832,12562,,
Kemin Sosialidemokraattinen Kunnallisjärjestö ry57995,,FI9131699,57995,,
Kemin Taksipalvelu Oy54417,,FI7010666,54417,,
Kemin Toinen Linja Oy55721,,FI5733617,55721,,
Kemin Urheilu- ja Järjestötoiminnan Tuki ry55376,,FI14431354,55376,,
Kemin Vesi-Piste Oy53841,,FI5767972,53841,,
Kemin Yrittäjät ry56131,,FI10536159,56131,,
Keminmaan kunta26955,,FI2104698,26955,,
Keminmaan Lasi Oy55330,,FI8355041,55330,,
Kemira Oyj51519,,FI1098230,51519,,
Kemi-Tornionlaakson koulutuskuntayhtymä Lappia52720,,FI21093090,52720,,
Kemi-Tornionlaakson koulutuskuntayhtymä Lappia14331,,FI21093090,14331,,
Kemi-Tornionlaakson koulutuskuntayhtymä Lappia56239,,FI21093090,56239,,
Kemitär Oy57847,,FI18855613,57847,,
Kemiönsaaren kunta52218,,FI1338337,52218,,
Kempeleen kunta7950,,FI1860029,7950,,
Kemppi Oy5793,,FI20518261,5793,,
Kenkä Avenue Oy51470,,FI21769150,51470,,
Kenkä- ja asusteliike Stiletto Oy53691,,FI20101749,53691,,
Kenkä- ja Laukkuliike Styrman Ky51543,,FI22265683,51543,,
Kenkä Patina Oy50519,,FI9373380,50519,,
Kenkä-Jonna54790,,FI10710313,54790,,
KENKÄKESKO OY1237,,FI16366736,1237,,
Kenkäkesko Oy34669,,FI6375110,34669,,
Kenkäkesko Oy55539,,FI6375110,55539,,
Kenkäkesko Oy/Kookenkä Oulu32702,,FI6375110,32702,,
Kenkämatti Ky37064,,FI4338172,37064,,
Kenkä-Meklari Oy8308,,FI7456705,8308,,
Kenkäpori J. Janhunen kommandiittiyhtiö14285,,FI2504165,14285,,
Kenkärepo Oy34897,,FI7096252,34897,,
Kenkätähti Oy29888,,FI17478297,29888,,
Kennel Helsinki Oy53193,,FI14714522,53193,,
Kennel Helsinki Oy53278,,FI14714522,53278,,
Kera Group Oy36913,,FI6948775,36913,,
Keramia Oy12429,,FI2154484,12429,,
Keravan Energia Oy52372,,FI8910260,52372,,
Kerd Oy54463,,FI27496798,54463,,
Kerigolf Oy55079,,FI7620173,55079,,
Kerimäen Kalafile Oy55325,,FI10450857,55325,,
Kerkes Oy53185,,FI8593824,53185,,
Keräsen automaalaamo avoin yhtiö55703,,FI22197692,55703,,
Keski-Espoon Asunnot Oy LKV51923,,FI23244390,51923,,
Keskikuljetus Oy38313,,FI1098601,38313,,
Keskinäinen Eläkevakuutusyhtiö Etera28407,,FI1170861,28407,,
Keskinäinen Eläkevakuutusyhtiö Ilmarinen2140,,FI1076381,2140,,
Keskinäinen Henkivakuutusyhtiö Suomi25295,,FI2013200,25295,,
Keskinäinen työeläkevakuutusyhtiö Varma30709,,FI5332979,30709,,
Keskinäinen vakuutusyhtiö Eläke-Fennia1906,,FI2011045,1906,,
Keskinäinen Vakuutusyhtiö Fennia24495,,FI1968267,24495,,
Keskinäinen Vakuutusyhtiö Fennia26941,,FI1968267,26941,,
Keskinäinen Vakuutusyhtiö Fennia55137,,FI1968267,55137,,
Keskinäinen Vakuutusyhtiö Kaleva56209,,FI2006289,56209,,
Keskinäinen Vakuutusyhtiö Turva7384,,FI2116955,7384,,
Keskinäinen Vakuutusyhtiö Turva53850,,FI2116955,53850,,
Keski-Pohjanmaan ammattikorkeakoulu / Centria36564,,FI10978053,36564,,
Keski-Pohjanmaan Hoitopalvelu Oy55297,,FI16518242,55297,,
Keski-Pohjanmaan Kesäyliopisto58141,,FI2787951,58141,,
Keski-Pohjanmaan Kirjapaino Oyj24422,,FI1981656,24422,,
Keski-Pohjanmaan Konttoripiste Oy54366,,FI6104425,54366,,
Keski-Pohjanmaan Koulutusyhtymä55468,,FI2089168,55468,,
Keski-Pohjanmaan Koulutusyhtymä54478,,FI2089168,54478,,
Keski-Pohjanmaan Liikunta ry54411,,FI11098381,54411,,
Keski-Pohjanmaan liitto51010,,FI9598061,51010,,
Keski-Pohjanmaan Osuuspankki21888,,FI1793436,21888,,
Keski-Pohjanmaan Urheilun Tukijat ry56470,,FI3984957,56470,,
Keski-Pohjanmaan Yrittäjät ry55124,,FI2428270,55124,,
Keskisen Kello Oy34320,,FI4889935,34320,,
Keskisuomalainen Oyj4460,,FI1744458,4460,,
Keski-Suomen Asuntovälitys Oy LKV37615,,FI20281591,37615,,
Keski-Suomen Ilmastointihuolto Oy56546,,FI3468901,56546,,
Keski-Suomen Kauppakamari10260,,FI2082150,10260,,
Keski-Suomen Keittiö ja Sähkö Ky13892,,FI6785865,13892,,
Keski-Suomen Kokoomus ry53702,,FI7705062,53702,,
Keski-Suomen Kuljetus Oy26930,,FI1766681,26930,,
Keski-Suomen Kuntosalit Oy37459,,FI10697323,37459,,
Keski-Suomen liitto5911,,FI8301553,5911,,
Keski-Suomen Lääkintälaite Oy22142,,FI10950448,22142,,
Keski-Suomen Oma Koti Oy37487,,FI10635667,37487,,
Keski-Suomen OP-Kiinteistökeskus Oy35428,,FI6360410,35428,,
Keski-Suomen OP-Kiinteistökeskus Oy37750,,FI6360410,37750,,
Keski-Suomen Osuuspankki3367,,FI8220294,3367,,
Keski-Suomen Ravirata Oy5971,,FI1744570,5971,,
Keski-Suomen Studio Audio Oy25012,,FI9867866,25012,,
Keski-Suomen Takuuremontit Oy37795,,FI7555009,37795,,
Keski-Suomen Viestilaitehuolto Oy36302,,FI9001886,36302,,
Keski-Suomen Yrittäjät ry30796,,FI2196641,30796,,
Keski-Uudenmaan koulutuskuntayhtymä35449,,FI2138345,35449,,
Keski-Uudenmaan koulutuskuntayhtymä55748,,FI2138345,55748,,
KESKO OYJ2178,,FI1098628,2178,,
Kesko Oyj1917,,FI1098628,1917,,
Kesko Oyj5796,,FI1098629,5796,,
KESKO OYJ / RUOKAKESKO OY1228,,FI1098628,1228,,
Kesko Oyj / Supermarket Kesko27942,,FI1098628,27942,,
Kesko Oyj Kuopio10238,,FI1098628,10238,,
KESKO OYJ/ K-PLUS OY16205,,FI1098628,16205,,
Kesko Oyj/K-market Pirkanmaa34182,,FI1098629,34182,,
Kesko Oyj/Länsi Suomi33754,,FI1098629,33754,,
Kesko Oyj/Supermarketkesko Sat35090,,FI1098629,35090,,
Kesko Oyj/Supermarketkesko Tre17537,,FI1098628,17537,,
Kesko Tampere5929,,FI1098629,5929,,
Kesko Turku13783,,FI1098629,13783,,
Kesko/Vaate Ketjuyksikkö1247,,FI1098628,1247,,
KESKUSAUTOHALLI OY5947,,FI17995024,5947,,
Keskusautohalli Oy28203,,FI17995024,28203,,
Keskusautohalli Oy29280,,FI17995024,29280,,
Keskuskauppakamari10914,,FI2014692,10914,,
Keskusmusiikki Lahti Oy21462,,FI15727579,21462,,
Keskusoptiikka Ivalo Oy55116,,FI18445462,55116,,
Keskustan Lapin piiri ry24994,,FI2832468,24994,,
Keskustan Peräpohjolan Piiri ry26967,,FI2104428,26967,,
Keskustan Pirkanmaan piiri ry26950,,FI5183096,26950,,
Keskustan Pohjois-Pohjanmaan Piiri r.y.3909,,FI2100726,3909,,
Keskustan Pohjois-Savon Piiri ry16196,,FI2763909,16196,,
Keskustanaisten Keski-Suomen piiri ry27617,,FI1747683,27617,,
Kesport Haapajärvi52588,,FI16488717,52588,,
Kesport Kemijärvi52601,,FI16488717,52601,,
Kespro Oy52060,,FI9119171,52060,,
Keuruun Isännöintipalvelu Oy52332,,FI17139009,52332,,
Keuruun kaupunki4458,,FI2083882,4458,,
Keuruun Osuuspankki34714,,FI1759916,34714,,
Keuruun Yrittäjät Ry32669,,FI7310095,32669,,
Kevama Oy26693,,FI2829672,26693,,
KHV-Media Oy50684,,FI21411001,50684,,
Kiantama Oy52860,,FI3064528,52860,,
Kicks Kosmetikkedjan Oy34236,,FI20615109,34236,,
Kiddex Oy52571,,FI21749598,52571,,
Kidex Oy35831,,FI18572760,35831,,
Kids Company Oy33394,,FI20161207,33394,,
Kiekkobussi Oy57962,,FI25955065,57962,,
Kiekkoreipas ry12489,,FI6119248,12489,,
Kieku Oy36371,,FI20854046,36371,,
Kielikone Oy29234,,FI6949671,29234,,
Kihniön kunta26154,,FI1338628,26154,,
KiiltoClean Oy1464,,FI17999260,1464,,
KiiltoClean Oy14371,,FI17999260,14371,,
Kiimingin Sora Oy22811,,FI1860870,22811,,
Kiint. Oy Kauppakeskus Martinsilta57299,,FI11083120,57299,,
Kiinteistö Aitta51298,,FI10161799,51298,,
Kiinteistö ja Mittaus Oy50361,,FI1802064,50361,,
Kiinteistö ja Rakennus Mäkelä Oy37936,,FI9752671,37936,,
Kiinteistö ja Saneerauspalvelu Jokela55349,,FI21299419,55349,,
Kiinteistö Oy Ficre / Kauppakeskus Willa54811,,FI23460851,54811,,
Kiinteistö Oy Iso-Syötteen Tunturimökit28664,,FI20574888,28664,,
Kiinteistö Oy Joensuun Metropol55136,,FI7264893,55136,,
Kiinteistö Oy Jyrkkälänpolku51237,,FI1426396,51237,,
Kiinteistö Oy Jyväskylän Kaupunkilaispiha58002,,FI23177132,58002,,
Kiinteistö Oy Kaapelitalo51092,,FI8736506,51092,,
Kiinteistö Oy Kauppakeskus Columbus19265,,FI9516812,19265,,
Kiinteistö Oy Kauppakeskus Hullumies22314,,FI10902868,22314,,
Kiinteistö Oy Kauppakeskus Sello25871,,FI18240133,25871,,
Kiinteistö Oy Kinkomaan Vitapolis56696,,FI21865273,56696,,
Kiinteistö Oy Koutalaki 155048,,FI21816164,55048,,
Kiinteistö Oy Kuopion Haapaniemenkatu 1824792,,FI9182744,24792,,
Kiinteistö Oy Lahden Trio12380,,FI7677938,12380,,
Kiinteistö Oy Laitilan Terveyskoti55556,,FI5612137,55556,,
Kiinteistö Oy Lippulaiva13585,,FI7743691,13585,,
Kiinteistö Oy Oulun Talus26660,,FI6887378,26660,,
KIINTEISTÖ OY PIKIPRUUKKI FASTIGHETS AB53801,,FI4216968,53801,,
Kiinteistö Oy Rinteenkulma55995,,FI6034949,55995,,
Kiinteistö Oy Ristiinantie 154734,,FI6102550,54734,,
KIINTEISTÖ OY TERVASKANGAS55617,,FI23466583,55617,,
Kiinteistö Oy Tikkurilan Kauppakeskus10279,,FI6451240,10279,,
Kiinteistö Oy Turun Monitoimihalli4151,,FI8164253,4151,,
Kiinteistö Oy Wanha Walimo36959,,FI19787747,36959,,
Kiinteistö Oy Vantaanportin Liikekeskus16824,,FI10545119,16824,,
Kiinteistöalan Koulutuskeskus Oy33096,,FI2823422,33096,,
Kiinteistö-Hagman LKV Oy51127,,FI22895423,51127,,
Kiinteistöhuolto Jurvelin Oy52680,,FI20572946,52680,,
Kiinteistökehitys Pihakoivu Oy38104,,FI20024587,38104,,
Kiinteistökeskus Kotiapaja Oy50466,,FI7735464,50466,,
Kiinteistökeskus Satakunta Oy37531,,FI18358908,37531,,
KIINTEISTÖMAAILMA OY3131,,FI8048359,3131,,
Kiinteistömaailma Ykkösneliöt Oy LKV37648,,FI18928552,37648,,
Kiinteistömarkkinointi Kari Friman Oy51295,,FI10758755,51295,,
Kiinteistömeklarit Vaasa Oy LKV54935,,FI24314143,54935,,
Kiinteistönvälitys Airi Leppänen LKV Ky37534,,FI17687689,37534,,
Kiinteistönvälitys Alanko Oy50108,,FI18966065,50108,,
Kiinteistönvälitys Alanko Oy52593,,FI18966065,52593,,
Kiinteistönvälitys Asuntoasiat Oy37711,,FI7709581,37711,,
Kiinteistönvälitys Asuntolähde Oy LKV37435,,FI23453184,37435,,
"Kiinteistönvälitys Enberg Oy, LKV37490",,FI16359480,37490,,
"Kiinteistönvälitys Enberg Oy, LKV54317",,FI16359480,54317,,
Kiinteistönvälitys Kari Tanninen LKV51442,,FI14997374,51442,,
"Kiinteistönvälitys Kotikulma Oy, Lkv38219",,FI19559998,38219,,
Kiinteistönvälitys LKV Palazzi Oy51083,,FI8367683,51083,,
Kiinteistönvälitys Mauri Ahvalo Oy LKV50384,,FI8606699,50384,,
Kiinteistönvälitys Mervi Honkanen Oy LKV51426,,FI9232094,51426,,
"Kiinteistönvälitys Pasi Backman Oy, LKV55580",,FI24562171,55580,,
Kiinteistönvälitys Pertti Jääskeläinen LKV Oy50398,,FI21629115,50398,,
Kiinteistönvälitys Provinssi Oy LKV50392,,FI20586993,50392,,
Kiinteistönvälitys Vauhkonen Oy54919,,FI10957535,54919,,
Kiinteistönvälitys Virpi Alo Oy50690,,FI15869403,50690,,
Kiinteistönvälitysalan Keskusliitto ry52999,,FI21921239,52999,,
Kiinteistönvälitysliike Asuntotuomarit Oy52446,,FI3624660,52446,,
